5.566223697467326e-05,4.862549443075042e-05,4.282638395669126e-05,3.8173547312396036e-05,3.3732271732777496e-05,2.9550311482988328e-05,2.567108995656615e-05,2.2902365129749547e-05,6.095015796947005e-06,7.312029816458046e-06,8.121907017729143e-06
4.862549443075042e-05,5.12718247885746e-05,4.5107698192173666e-05,4.021432863693979e-05,3.419375521494993e-05,2.990123146626703e-05,2.607963380865351e-05,2.3137000401875824e-05,5.881592645336122e-06,7.211954085161092e-06,8.168352911050845e-06
4.282638395669126e-05,4.5107698192173666e-05,4.677428357881056e-05,4.1232165058157207e-05,3.546065150798021e-05,2.9986648183894346e-05,2.62052779582153e-05,2.306113750968429e-05,6.147168076048819e-06,7.31247594301108e-06,8.136369301395338e-06
3.8173547312396036e-05,4.021432863693979e-05,4.1232165058157207e-05,4.28740118205674e-05,3.662881326422452e-05,3.123789088271994e-05,2.6431755278029536e-05,2.310736398744753e-05,6.307498364647075e-06,7.806805729505034e-06,8.406593597061435e-06
3.3732271732777496e-05,3.419375521494993e-05,3.546065150798021e-05,3.662881326422452e-05,3.840779734733395e-05,3.237651568051133e-05,2.7782739795824528e-05,2.2948405870582346e-05,6.32611362567955e-06,7.98823773869492e-06,8.691175442820916e-06
2.9550311482988328e-05,2.990123146626703e-05,2.9986648183894346e-05,3.123789088271994e-05,3.237651568051133e-05,3.4091463437907885e-05,2.89364819117128e-05,2.4167084706182116e-05,6.3191060232746256e-06,8.225817203244402e-06,9.111358728309354e-06
2.567108995656615e-05,2.607963380865351e-05,2.62052779582153e-05,2.6431755278029536e-05,2.7782739795824528e-05,2.89364819117128e-05,3.077978643021955e-05,2.547878018035688e-05,6.421910215560376e-06,8.431674526773701e-06,9.501690416503878e-06
2.2902365129749547e-05,2.3137000401875824e-05,2.306113750968429e-05,2.310736398744753e-05,2.2948405870582346e-05,2.4167084706182116e-05,2.547878018035688e-05,2.8731490706153713e-05,6.4202361440507e-06,8.639979762823352e-06,9.637813658945463e-06
6.095015796947005e-06,5.881592645336122e-06,6.147168076048819e-06,6.307498364647075e-06,6.32611362567955e-06,6.3191060232746256e-06,6.421910215560376e-06,6.4202361440507e-06,1.3954321673089672e-05,1.0857499405160405e-05,9.658350428767128e-06
7.312029816458046e-06,7.211954085161092e-06,7.31247594301108e-06,7.806805729505034e-06,7.98823773869492e-06,8.225817203244402e-06,8.431674526773701e-06,8.639979762823352e-06,1.0857499405160405e-05,2.0422315896562654e-05,1.6432074672149114e-05
8.121907017729143e-06,8.168352911050845e-06,8.136369301395338e-06,8.406593597061435e-06,8.691175442820916e-06,9.111358728309354e-06,9.501690416503878e-06,9.637813658945463e-06,9.658350428767128e-06,1.6432074672149114e-05,2.498020519799156e-05
