2.9245164785627593e-06,2.4971813632933638e-06,2.185531944372807e-06,1.9526963489039356e-06,1.8314333233483978e-06,1.7399569337763142e-06,1.7244695828577578e-06,1.6649096861177652e-06,7.637273119963742e-07,1.09589133553749e-06,1.2157268889876402e-06
2.4971813632933638e-06,2.818416556336196e-06,2.407112043206875e-06,2.1556246922473865e-06,1.8493200772701134e-06,1.7493619389434066e-06,1.7399359962444408e-06,1.6728190349719526e-06,7.662431406920468e-07,1.096397194480758e-06,1.21339892400631e-06
2.185531944372807e-06,2.407112043206875e-06,2.7112422807111253e-06,2.343952120542822e-06,2.013729667352838e-06,1.766733718073573e-06,1.7487953502853014e-06,1.6795765976735205e-06,7.61155596272207e-07,1.0890278874574458e-06,1.2169361233666734e-06
1.9526963489039356e-06,2.1556246922473865e-06,2.343952120542822e-06,2.663418827693702e-06,2.215213078898955e-06,1.9488450369354236e-06,1.755597285016848e-06,1.6879696942209887e-06,7.462800968769592e-07,1.0569713904960437e-06,1.194208578855276e-06
1.8314333233483978e-06,1.8493200772701134e-06,2.013729667352838e-06,2.215213078898955e-06,2.4999259114075203e-06,2.132695267662993e-06,1.9063183424205655e-06,1.682519126211087e-06,7.343576960357059e-07,1.035039025888493e-06,1.1914378905225653e-06
1.7399569337763142e-06,1.7493619389434066e-06,1.766733718073573e-06,1.9488450369354236e-06,2.132695267662993e-06,2.4196533677643107e-06,2.0979784479010672e-06,1.811131487439698e-06,7.259145483627284e-07,1.0172617275858691e-06,1.1610895026745688e-06
1.7244695828577578e-06,1.7399359962444408e-06,1.7487953502853014e-06,1.755597285016848e-06,1.9063183424205655e-06,2.0979784479010672e-06,2.4370142969899917e-06,2.027642924683243e-06,7.467204458449591e-07,1.043875156420216e-06,1.186545303599708e-06
1.6649096861177652e-06,1.6728190349719526e-06,1.6795765976735205e-06,1.6879696942209887e-06,1.682519126211087e-06,1.811131487439698e-06,2.027642924683243e-06,2.3505664624410175e-06,7.589855119893511e-07,1.06278442529958e-06,1.2013709874081417e-06
7.637273119963742e-07,7.662431406920468e-07,7.61155596272207e-07,7.462800968769592e-07,7.343576960357059e-07,7.259145483627284e-07,7.467204458449591e-07,7.589855119893511e-07,1.3974348746469263e-06,1.0832114133752052e-06,9.7082011722977e-07
1.09589133553749e-06,1.096397194480758e-06,1.0890278874574458e-06,1.0569713904960437e-06,1.035039025888493e-06,1.0172617275858691e-06,1.043875156420216e-06,1.06278442529958e-06,1.0832114133752052e-06,2.00795721674383e-06,1.5787150169718723e-06
1.2157268889876402e-06,1.21339892400631e-06,1.2169361233666734e-06,1.194208578855276e-06,1.1914378905225653e-06,1.1610895026745688e-06,1.186545303599708e-06,1.2013709874081417e-06,9.7082011722977e-07,1.5787150169718723e-06,2.3627125414442475e-06
