5.400996648835403e-05,4.7304558461916746e-05,4.2110768143458266e-05,3.768156699075928e-05,3.382122205859062e-05,3.002319417419723e-05,2.6557007913158847e-05,2.2481305723758447e-05,5.6017282975226495e-06,6.4567898682127355e-06,7.513483678917845e-06
4.7304558461916746e-05,4.968445028109761e-05,4.411328382590396e-05,3.952241060963012e-05,3.4347493289792824e-05,3.0419847547117207e-05,2.6876705454760548e-05,2.2755508995203575e-05,5.359757036693699e-06,6.613833392431806e-06,7.746461141393917e-06
4.2110768143458266e-05,4.411328382590396e-05,4.599818025981961e-05,4.0706036035948e-05,3.5785997200119026e-05,3.074092281714947e-05,2.7205371847651088e-05,2.282752260361765e-05,5.480657919119561e-06,6.934008446188108e-06,7.819393910466358e-06
3.768156699075928e-05,3.952241060963012e-05,4.0706036035948e-05,4.228759468783454e-05,3.690401744083553e-05,3.1860374852549754e-05,2.7446695073114938e-05,2.28659508546598e-05,5.558571637988054e-06,7.143944970112814e-06,8.067637716409574e-06
3.382122205859062e-05,3.4347493289792824e-05,3.5785997200119026e-05,3.690401744083553e-05,3.8557388749510614e-05,3.3084350843367444e-05,2.8940203942717756e-05,2.2865049730007363e-05,5.526760785091468e-06,7.2009719579284235e-06,8.386729537595244e-06
3.002319417419723e-05,3.0419847547117207e-05,3.074092281714947e-05,3.1860374852549754e-05,3.3084350843367444e-05,3.439966489864055e-05,2.98318866550184e-05,2.3662238456292816e-05,5.540142525247029e-06,7.195088481440504e-06,8.325529591851105e-06
2.6557007913158847e-05,2.6876705454760548e-05,2.7205371847651088e-05,2.7446695073114938e-05,2.8940203942717756e-05,2.98318866550184e-05,3.175281409225038e-05,2.4779095259706693e-05,5.628032303955698e-06,7.651541387783245e-06,8.899655421456953e-06
2.2481305723758447e-05,2.2755508995203575e-05,2.282752260361765e-05,2.28659508546598e-05,2.2865049730007363e-05,2.3662238456292816e-05,2.4779095259706693e-05,2.8365713034322426e-05,5.574176116601813e-06,7.98198761593368e-06,9.367504150075065e-06
5.6017282975226495e-06,5.359757036693699e-06,5.480657919119561e-06,5.558571637988054e-06,5.526760785091468e-06,5.540142525247029e-06,5.628032303955698e-06,5.574176116601813e-06,1.192379784307059e-05,9.409065777278887e-06,8.580841773437304e-06
6.4567898682127355e-06,6.613833392431806e-06,6.934008446188108e-06,7.143944970112814e-06,7.2009719579284235e-06,7.195088481440504e-06,7.651541387783245e-06,7.98198761593368e-06,9.409065777278887e-06,1.8157274266898884e-05,1.4837189992267787e-05
7.513483678917845e-06,7.746461141393917e-06,7.819393910466358e-06,8.067637716409574e-06,8.386729537595244e-06,8.325529591851105e-06,8.899655421456953e-06,9.367504150075065e-06,8.580841773437304e-06,1.4837189992267787e-05,2.289320297518789e-05
